Dataset,Mixture Label,length,Duplicate,Duplicate Of,smi_0,smi_1,smi_2,smi_3,smi_4,smi_5,smi_6,smi_7,smi_8,smi_9,smi_10,smi_11,smi_12,smi_13,smi_14,smi_15,smi_16,smi_17,smi_18,smi_19,smi_20,smi_21,smi_22,smi_23,smi_24,smi_25,smi_26,smi_27,smi_28,smi_29,smi_30,smi_31,smi_32,smi_33,smi_34,smi_35,smi_36,smi_37,smi_38,smi_39,smi_40,smi_41,smi_42,length
Snitz 1,17,30,False,,CC(=O)c1ccccn1,CC(=O)OCCC(C)C,CC(C)CCOC(=O)Cc1ccccc1,COc1ccccc1,CCCCSCCCC,Cc1cc(O)c(C(C)C)cc1Cl,O=CC=Cc1ccccc1,O=c1ccc2ccccc2o1,CCCCC/C=C/C=C/C=O,CCCC(=O)OCC,CCc1cnccn1,C=CCc1ccc(O)c(OC)c1,SCc1ccco1,CCCCCC(=O)O,CCCCCCO,CC(CC=O)CCCC(C)(C)O,C=C[C@](C)(O)CCC=C(C)C,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,COC(=O)c1ccccc1N,Cc1ccc2ncccc2c1,CC1COCc2cc3c(cc21)C(C)(C)C(C)C3(C)C,CCCCCCCCO,C=CC(O)CCCCC,CCCOC(=O)CCC,Cc1c[nH]c2ccccc12,c1ccsc1,Cc1ccc(C(C)C)c(O)c1,Cc1ccccc1C=O,C=CCCCCCCCCC(=O)O,CC(C)CC(=O)O,,,,,,,,,,,,,,30
Snitz 1,18,40,False,,CC(=O)c1ccccn1,CCCCCC1CCC(=O)O1,CC(=O)OCCC(C)C,CCCCCOC(=O)CCC,CC(C)CCOC(=O)Cc1ccccc1,COc1ccccc1,CCCCSCCCC,Cc1cc(O)c(C(C)C)cc1Cl,O=CC=Cc1ccccc1,O=c1ccc2ccccc2o1,Cc1ccc(O)cc1,COc1ccc(C)cc1,CCCCC/C=C/C=C/C=O,c1ccc(Oc2ccccc2)cc1,CCCC(=O)OCC,CCc1cnccn1,C=CCc1ccc(O)c(OC)c1,SCc1ccco1,CCCCCC(=O)O,CCCCCCO,CC(CC=O)CCCC(C)(C)O,C=C[C@](C)(O)CCC=C(C)C,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,COC(=O)c1ccccc1N,Cc1ccc2ncccc2c1,CCCC(=O)SC,CC1COCc2cc3c(cc21)C(C)(C)C(C)C3(C)C,CCCCCCCCCOC(C)=O,CCCCCCCCO,C=CC(O)CCCCC,CCCCC(=O)O,CCCOC(=O)CCC,CCCSCCC,Cc1c[nH]c2ccccc12,c1ccsc1,Cc1ccc(C(C)C)c(O)c1,Cc1ccccc1C=O,C=CCCCCCCCCC(=O)O,CC(C)CC(=O)O,CC1CCC(=O)O1,,,,40
Snitz 1,19,4,False,,COc1ccc(C)cc1,CCCCCC(=O)O,CC(CC=O)CCCC(C)(C)O,Cc1ccc2ncccc2c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Snitz 1,20,1,False,,COC(OC)C(C)c1ccccc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Snitz 1,21,20,False,,CCOC(=O)C1OC1(C)c1ccccc1,CCCC(=O)O,CC/C=C1/OC(=O)c2ccccc21,CC(=O)Oc1ccc(C)cc1,Cc1ccc(OC(=O)C(C)C)cc1,CC(C)(O)CCc1ccccc1,Cc1nccnc1C,CC12CCC(CC1)C(C)(C)O2,COc1ccccc1O,CCCCCCCO,CCC/C=C/C=O,COC(OC)C(C)c1ccccc1,c1ccc2[nH]ccc2c1,CC(C)=CCCC(C)C=O,CCC(OC)OC,C=CCCC(=O)O,C#Cc1ccccc1,OCCc1ccccc1,Cc1ccccc1,COc1cc(C=O)ccc1O,,,,,,,,,,,,,,,,,,,,,,,,20
Snitz 1,22,30,False,,CCOC(=O)C1OC1(C)c1ccccc1,CCCCCOC(=O)CCCC,CCCC(=O)O,C=C1CC/C=C(\C)CC[C@@H]2[C@@H]1CC2(C)C,Cc1ccc(OC(=O)C(C)C)cc1,CC(C)c1ccc(C=O)cc1,OC1CCCCC1,CCCCNCCCC,CCCC(=O)OC(C)(C)Cc1ccccc1,CC(C)(O)CCc1ccccc1,Cc1nccnc1C,Cc1cnc(C)cn1,CSSSC,CC12CCC(CC1)C(C)(C)O2,CCCCCCC=O,CCCCCCCO,CCCCCC=O,CCCC(O)CC,c1ccc2[nH]ccc2c1,CC(C)=CCCC(C)C=O,COc1ccc2ccccc2c1,CCC(OC)OC,O=C(O)Cc1ccccc1,C#Cc1ccccc1,OCCc1ccccc1,CC1=CC(=O)CC(C)(C)C1,CC1=CCC2CC1C2(C)C,Cc1ccccc1,CCCCCCCC1CCC(=O)O1,COc1cc(C=O)ccc1O,,,,,,,,,,,,,,30
Snitz 1,23,40,False,,CC(=O)c1ccccc1,CCOC(=O)C1OC1(C)c1ccccc1,CCCCCOC(=O)CCCC,O=Cc1ccccc1,CC(=O)O[C@@H]1C[C@@H]2CC[C@@]1(C)C2(C)C,CCCC(=O)O,C=C1CC/C=C(\C)CC[C@@H]2[C@@H]1CC2(C)C,CC/C=C1/OC(=O)c2ccccc21,CC(=O)Oc1ccc(C)cc1,Cc1ccc(OC(=O)C(C)C)cc1,CC(C)c1ccc(C=O)cc1,OC1CCCCC1,CCCCNCCCC,CCCC(=O)OC(C)(C)Cc1ccccc1,CC(C)(O)CCc1ccccc1,Cc1nccnc1C,Cc1cnc(C)cn1,CSSSC,CCOC(=O)CC,CC12CCC(CC1)C(C)(C)O2,COc1ccccc1O,CCCCCCC=O,CCCCCCCO,CCCCCC=O,CCCC(O)CC,CCC/C=C/C=O,COC(OC)C(C)c1ccccc1,c1ccc2[nH]ccc2c1,CC(C)=CCCC(C)C=O,COc1ccc2ccccc2c1,CCC(OC)OC,C=CCCC(=O)O,O=C(O)Cc1ccccc1,C#Cc1ccccc1,OCCc1ccccc1,CC1=CC(=O)CC(C)(C)C1,CC1=CCC2CC1C2(C)C,Cc1ccccc1,CCCCCCCC1CCC(=O)O1,COc1cc(C=O)ccc1O,,,,40
Snitz 1,24,4,False,,CCOC(=O)CC,C=CCCC(=O)O,OCCc1ccccc1,CC1=CC(=O)CC(C)(C)C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Snitz 1,25,10,False,,CC(C)CCOC(=O)Cc1ccccc1,CCCCCOC(=O)CCCC,O=CC=Cc1ccccc1,CCCCC/C=C/C=C/C=O,C=C[C@](C)(O)CCC=C(C)C,COC(=O)c1ccccc1N,CCCCCCCCCOC(C)=O,O=C(O)Cc1ccccc1,Cc1c[nH]c2ccccc12,Cc1ccccc1C=O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
Snitz 1,26,10,False,,CC(=O)c1ccccc1,CCCCCOC(=O)CCC,COc1ccccc1,Cc1ccc(OC(=O)C(C)C)cc1,CCCC(=O)OC(C)(C)Cc1ccccc1,CCc1cnccn1,CCCCCCCO,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,CCCOC(=O)CCC,CC(C)CC(=O)O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
Snitz 1,27,1,False,,CCCCCCCC1CCC(=O)O1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Snitz 1,28,20,False,,CC(=O)c1ccccc1,CCCCCOC(=O)CCC,CC(=O)O[C@@H]1C[C@@H]2CC[C@@]1(C)C2(C)C,CC/C=C1/OC(=O)c2ccccc21,Cc1ccc(O)cc1,CC(=O)Oc1ccc(C)cc1,Cc1ccc(OC(=O)C(C)C)cc1,CCCC(=O)OC(C)(C)Cc1ccccc1,CCCCCCO,CCC/C=C/C=O,CC(CC=O)CCCC(C)(C)O,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,C=CC(O)CCCCC,CCCCC(=O)O,OCCc1ccccc1,CC1=CCC2CC1C2(C)C,CCCOC(=O)CCC,c1ccsc1,C=CCCCCCCCCC(=O)O,CC(C)CC(=O)O,,,,,,,,,,,,,,,,,,,,,,,,20
Snitz 1,29,30,False,,CC(=O)c1ccccc1,CCCCCOC(=O)CCC,CC(=O)O[C@@H]1C[C@@H]2CC[C@@]1(C)C2(C)C,CCCCSCCCC,CC(=O)Oc1ccc(C)cc1,Cc1ccc(OC(=O)C(C)C)cc1,COc1ccc(C)cc1,OC1CCCCC1,CCCC(=O)OC(C)(C)Cc1ccccc1,c1ccc(Oc2ccccc2)cc1,CCc1cnccn1,CCC/C=C/C=O,CC(CC=O)CCCC(C)(C)O,c1ccc2[nH]ccc2c1,CC(C)=CCCC(C)C=O,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,COc1ccc2ccccc2c1,CCC(OC)OC,C=CC(O)CCCCC,CCCCC(=O)O,OCCc1ccccc1,CC1=CCC2CC1C2(C)C,CCCOC(=O)CCC,CCCSCCC,c1ccsc1,Cc1ccccc1,CCCCCCCC1CCC(=O)O1,C=CCCCCCCCCC(=O)O,CC(C)CC(=O)O,COc1cc(C=O)ccc1O,,,,,,,,,,,,,,30
Snitz 1,30,40,False,,CC(=O)c1ccccc1,CCCCCOC(=O)CCC,COc1ccccc1,CC(=O)O[C@@H]1C[C@@H]2CC[C@@]1(C)C2(C)C,CCCCSCCCC,CC/C=C1/OC(=O)c2ccccc21,O=c1ccc2ccccc2o1,Cc1ccc(O)cc1,CC(=O)Oc1ccc(C)cc1,Cc1ccc(OC(=O)C(C)C)cc1,COc1ccc(C)cc1,CC(C)c1ccc(C=O)cc1,OC1CCCCC1,CCCC(=O)OC(C)(C)Cc1ccccc1,Cc1cnc(C)cn1,c1ccc(Oc2ccccc2)cc1,CCc1cnccn1,COc1ccccc1O,CCCCCCCO,CCCCCCO,CCC/C=C/C=O,CC(CC=O)CCCC(C)(C)O,c1ccc2[nH]ccc2c1,CC(C)=CCCC(C)C=O,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,COc1ccc2ccccc2c1,CCC(OC)OC,C=CC(O)CCCCC,CCCCC(=O)O,C#Cc1ccccc1,OCCc1ccccc1,CC1=CCC2CC1C2(C)C,CCCOC(=O)CCC,CCCSCCC,c1ccsc1,Cc1ccccc1,CCCCCCCC1CCC(=O)O1,C=CCCCCCCCCC(=O)O,CC(C)CC(=O)O,COc1cc(C=O)ccc1O,,,,40
Snitz 1,31,4,False,,CCC/C=C/C=O,CCCCCOC(=O)CCC,Cc1ccc(O)cc1,OC1CCCCC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Snitz 1,32,1,False,,CC(=O)OCCC(C)C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Snitz 1,33,20,False,,CC(=O)c1ccccn1,CCCCCC1CCC(=O)O1,CC(=O)OCCC(C)C,CC(C)CCOC(=O)Cc1ccccc1,C=C1CC/C=C(\C)CC[C@@H]2[C@@H]1CC2(C)C,Cc1cc(O)c(C(C)C)cc1Cl,CCCCC/C=C/C=C/C=O,CC(C)(O)CCc1ccccc1,CCCC(=O)OCC,C=CCc1ccc(O)c(OC)c1,CCCCCC=O,C=C[C@](C)(O)CCC=C(C)C,CC1COCc2cc3c(cc21)C(C)(C)C(C)C3(C)C,CCCCCCCCCOC(C)=O,CCCCCCCCO,C=CCCC(=O)O,O=C(O)Cc1ccccc1,CC1=CC(=O)CC(C)(C)C1,Cc1ccc(C(C)C)c(O)c1,CC1CCC(=O)O1,,,,,,,,,,,,,,,,,,,,,,,,20
Snitz 1,34,30,False,,CC(=O)c1ccccn1,CCCCCC1CCC(=O)O1,CC(=O)OCCC(C)C,CC(C)CCOC(=O)Cc1ccccc1,CCCCCOC(=O)CCCC,O=Cc1ccccc1,CCCC(=O)O,C=C1CC/C=C(\C)CC[C@@H]2[C@@H]1CC2(C)C,Cc1cc(O)c(C(C)C)cc1Cl,O=CC=Cc1ccccc1,CCCCC/C=C/C=C/C=O,CC(C)(O)CCc1ccccc1,Cc1nccnc1C,CSSSC,CCOC(=O)CC,CC12CCC(CC1)C(C)(C)O2,C=CCc1ccc(O)c(OC)c1,CCCCCC=O,CCCCCC(=O)O,C=C[C@](C)(O)CCC=C(C)C,Cc1ccc2ncccc2c1,CC1COCc2cc3c(cc21)C(C)(C)C(C)C3(C)C,CCCCCCCCCOC(C)=O,CCCCCCCCO,C=CCCC(=O)O,CC1=CC(=O)CC(C)(C)C1,Cc1c[nH]c2ccccc12,Cc1ccc(C(C)C)c(O)c1,Cc1ccccc1C=O,CC1CCC(=O)O1,,,,,,,,,,,,,,30
Snitz 1,35,40,False,,CC(=O)c1ccccn1,CCOC(=O)C1OC1(C)c1ccccc1,CCCCCC1CCC(=O)O1,CC(=O)OCCC(C)C,CC(C)CCOC(=O)Cc1ccccc1,CCCCCOC(=O)CCCC,O=Cc1ccccc1,CCCC(=O)O,C=C1CC/C=C(\C)CC[C@@H]2[C@@H]1CC2(C)C,Cc1cc(O)c(C(C)C)cc1Cl,O=CC=Cc1ccccc1,CCCCC/C=C/C=C/C=O,CCCCNCCCC,CC(C)(O)CCc1ccccc1,Cc1nccnc1C,CSSSC,CCCC(=O)OCC,CCOC(=O)CC,CC12CCC(CC1)C(C)(C)O2,C=CCc1ccc(O)c(OC)c1,SCc1ccco1,CCCCCCC=O,CCCCCC=O,CCCCCC(=O)O,CCCC(O)CC,COC(OC)C(C)c1ccccc1,C=C[C@](C)(O)CCC=C(C)C,COC(=O)c1ccccc1N,Cc1ccc2ncccc2c1,CCCC(=O)SC,CC1COCc2cc3c(cc21)C(C)(C)C(C)C3(C)C,CCCCCCCCCOC(C)=O,CCCCCCCCO,C=CCCC(=O)O,O=C(O)Cc1ccccc1,CC1=CC(=O)CC(C)(C)C1,Cc1c[nH]c2ccccc12,Cc1ccc(C(C)C)c(O)c1,Cc1ccccc1C=O,CC1CCC(=O)O1,,,,40
Snitz 1,36,4,False,,CCCCCOC(=O)CCCC,SCc1ccco1,C=C[C@](C)(O)CCC=C(C)C,C=CCCC(=O)O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Snitz 1,37,10,False,,CC(=O)c1ccccn1,CC(C)CCOC(=O)Cc1ccccc1,C=CCc1ccc(O)c(OC)c1,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,CC1COCc2cc3c(cc21)C(C)(C)C(C)C3(C)C,C=CC(O)CCCCC,CCCCC(=O)O,CCCOC(=O)CCC,Cc1ccc(C(C)C)c(O)c1,C=CCCCCCCCCC(=O)O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
Snitz 1,38,15,False,,CCC1OC(=O)C(O)=C1C,CCCCCOC(=O)CCC,CC(=O)O[C@@H]1C[C@@H]2CC[C@@]1(C)C2(C)C,CCCC(=O)O,CC/C=C1/OC(=O)c2ccccc21,CCCC(=O)OC(C)(C)Cc1ccccc1,CCCC(=O)OCC,COc1ccccc1O,CCCCCCCO,CCC/C=C/C=O,C=C[C@](C)(O)CCC=C(C)C,CCCCCCCCCOC(C)=O,CCCCCCCCO,O=C(O)Cc1ccccc1,CC1=CCC(C(C)(C)O)CC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
Snitz 1,39,20,False,,CCC1OC(=O)C(O)=C1C,CCOC(=O)C1OC1(C)c1ccccc1,CCCC(=O)O,Cc1ccc(O)cc1,COc1ccc(C)cc1,CC(C)c1ccc(C=O)cc1,CCCC(=O)OC(C)(C)Cc1ccccc1,CCCC(=O)OCC,COc1ccccc1O,CCCCCCCO,CCCCCC(=O)O,CCCC(O)CC,CCC/C=C/C=O,C=C[C@](C)(O)CCC=C(C)C,COC(=O)c1ccccc1O,O=C(O)Cc1ccccc1,C#Cc1ccccc1,CC1=CCC(C(C)(C)O)CC1,CC(C)CC=O,COc1cc(C=O)ccc1O,,,,,,,,,,,,,,,,,,,,,,,,20
Snitz 1,40,30,False,,CCC1OC(=O)C(O)=C1C,CCOC(=O)C1OC1(C)c1ccccc1,CC(=O)OCCC(C)C,CCCCCOC(=O)CCC,COc1ccccc1,O=Cc1ccccc1,CC(=O)O[C@@H]1C[C@@H]2CC[C@@]1(C)C2(C)C,CCCCSCCCC,CC/C=C1/OC(=O)c2ccccc21,Cc1ccc(O)cc1,Cc1ccc(OC(=O)C(C)C)cc1,COc1ccc(C)cc1,CC(C)c1ccc(C=O)cc1,CCCCC/C=C/C=C/C=O,c1ccc(Oc2ccccc2)cc1,COc1ccccc1O,CCCCCCCO,CCCCCC(=O)O,CCCC(O)CC,C=C[C@](C)(O)CCC=C(C)C,COC(=O)c1ccccc1O,CCCCCCCCCOC(C)=O,CCCCCCCCO,C=CCCC(=O)O,O=C(O)Cc1ccccc1,C#Cc1ccccc1,CC1=CC(=O)CC(C)(C)C1,CC1=CCC(C(C)(C)O)CC1,CC(C)CC=O,COc1cc(C=O)ccc1O,,,,,,,,,,,,,,30
Snitz 1,41,43,False,,CCC1OC(=O)C(O)=C1C,CCOC(=O)C1OC1(C)c1ccccc1,CC(=O)OCCC(C)C,CCCCCOC(=O)CCC,COc1ccccc1,O=Cc1ccccc1,CC(=O)O[C@@H]1C[C@@H]2CC[C@@]1(C)C2(C)C,CCCC(=O)O,CCCCSCCCC,CC/C=C1/OC(=O)c2ccccc21,Cc1ccc(O)cc1,CC(=O)Oc1ccc(C)cc1,Cc1ccc(OC(=O)C(C)C)cc1,COc1ccc(C)cc1,CC(C)c1ccc(C=O)cc1,OC1CCCCC1,CCCCC/C=C/C=C/C=O,CCSCC,CCCC(=O)OC(C)(C)Cc1ccccc1,c1ccc(Oc2ccccc2)cc1,CCCC(=O)OCC,CCc1cnccn1,COc1ccccc1O,CCCCCCCO,CCCCCC(=O)O,CCCC(O)CC,CCC/C=C/C=O,C=C[C@](C)(O)CCC=C(C)C,CCC(OC)OC,COC(=O)c1ccccc1O,CCCC(=O)SC,CCCCCCCCCOC(C)=O,CCCCCCCCO,C=CCCC(=O)O,O=C(O)Cc1ccccc1,C#Cc1ccccc1,CC1=CC(=O)CC(C)(C)C1,Cc1c[nH]c2ccccc12,CC1=CCC(C(C)(C)O)CC1,O=C(O)CSCC(=O)O,Cc1ccccc1C=O,CC(C)CC=O,COc1cc(C=O)ccc1O,43
