Dataset,Mixture 1,Mixture 2,Experimental Values,Category,Idx_DREAM,Difference,mixture_1_num_of_mol,mixture_2_num_of_mol,cumulative_num_of_mol
Snitz 1,11.0,2.0,0.48958333333299997,train,26.0,3.33299998711567e-09,12,10,10.95445
Snitz 1,11.0,3.0,0.2864583333330001,train,27.0,3.3330000981379726e-09,12,1,3.4641
Snitz 1,11.0,4.0,0.53125,train,28.0,0.0,12,20,15.49193
Snitz 1,11.0,5.0,0.65625,train,29.0,0.0,12,30,18.97367
Snitz 1,11.0,6.0,0.619791666667,train,30.0,3.33299998711567e-09,12,40,21.9089
Snitz 1,11.0,7.0,0.44791666666700003,train,31.0,3.33299998711567e-09,12,4,6.9282
Snitz 1,12.0,2.0,0.22916666666699992,train,32.0,3.3330000981379726e-09,4,10,6.32456
Snitz 1,12.0,3.0,0.234375,train,33.0,0.0,4,1,2.0
Snitz 1,12.0,4.0,0.3020833333330001,train,34.0,3.3330000981379726e-09,4,20,8.94427
Snitz 1,12.0,5.0,0.3177083333330001,train,35.0,3.3330000981379726e-09,4,30,10.95445
Snitz 1,12.0,6.0,0.36979166666700003,train,36.0,3.33299998711567e-09,4,40,12.64911
Snitz 1,12.0,7.0,0.2890625,train,37.0,0.0,4,4,4.0
Snitz 1,13.0,14.0,0.24519230769199996,train,38.0,2.3080000133290923e-09,10,10,10.0
Snitz 1,13.0,15.0,0.29807692307699996,train,39.0,3.0769999881385957e-09,10,1,3.16228
Snitz 1,13.0,16.0,0.293269230769,train,40.0,7.68999974809503e-10,10,20,14.14214
Snitz 1,13.0,17.0,0.418269230769,train,41.0,7.68999974809503e-10,10,30,17.32051
Snitz 1,13.0,18.0,0.43269230769199996,train,42.0,2.3080000133290923e-09,10,40,20.0
Snitz 1,13.0,19.0,0.177884615385,train,43.0,4.615000048779905e-09,10,4,6.32456
Snitz 1,20.0,14.0,0.28846153846199996,train,44.0,1.5380000606413091e-09,1,10,3.16228
Snitz 1,20.0,15.0,0.4663461538460001,train,45.0,3.8460000739704014e-09,1,1,1.0
Snitz 1,20.0,17.0,0.22596153846199996,train,46.0,1.5380000606413091e-09,1,30,5.47723
Snitz 1,20.0,18.0,0.278846153846,train,47.0,3.845999962948099e-09,1,40,6.32456
Snitz 1,20.0,19.0,0.4663461538460001,train,48.0,3.8460000739704014e-09,1,4,2.0
Snitz 1,21.0,14.0,0.26442307692300004,train,49.0,3.0769999881385957e-09,20,10,14.14214
Snitz 1,21.0,15.0,0.28846153846199996,train,50.0,1.5380000606413091e-09,20,1,4.47214
Snitz 1,21.0,16.0,0.427884615385,train,51.0,4.615000048779905e-09,20,20,20.0
Snitz 1,21.0,17.0,0.48557692307700007,train,52.0,3.077000099160898e-09,20,30,24.4949
Snitz 1,21.0,18.0,0.4663461538460001,train,53.0,3.8460000739704014e-09,20,40,28.28427
Snitz 1,21.0,19.0,0.31730769230800004,train,54.0,2.3080000133290923e-09,20,4,8.94427
Snitz 1,22.0,14.0,0.26442307692300004,train,55.0,3.0769999881385957e-09,30,10,17.32051
Snitz 1,22.0,15.0,0.31730769230800004,train,56.0,2.3080000133290923e-09,30,1,5.47723
Snitz 1,22.0,16.0,0.548076923077,train,57.0,3.0769999881385957e-09,30,20,24.4949
Snitz 1,22.0,17.0,0.572115384615,train,58.0,4.6149999932687535e-09,30,30,30.0
Snitz 1,22.0,18.0,0.5,train,59.0,0.0,30,40,34.64102
Snitz 1,22.0,19.0,0.20673076923099998,train,60.0,7.68999974809503e-10,30,4,10.95445
Snitz 1,23.0,14.0,0.24519230769199996,train,61.0,2.3080000133290923e-09,40,10,20.0
Snitz 1,23.0,15.0,0.32692307692300004,train,62.0,3.0769999881385957e-09,40,1,6.32456
Snitz 1,23.0,16.0,0.5,train,63.0,0.0,40,20,28.28427
Snitz 1,23.0,17.0,0.548076923077,train,64.0,3.0769999881385957e-09,40,30,34.64102
Snitz 1,23.0,18.0,0.581730769231,train,65.0,7.690000303206546e-10,40,40,40.0
Snitz 1,23.0,19.0,0.22115384615400002,train,66.0,3.845999962948099e-09,40,4,12.64911
Snitz 1,24.0,14.0,0.22115384615400002,train,67.0,3.845999962948099e-09,4,10,6.32456
Snitz 1,24.0,15.0,0.29807692307699996,train,68.0,3.0769999881385957e-09,4,1,2.0
Snitz 1,24.0,16.0,0.26442307692300004,train,69.0,3.0769999881385957e-09,4,20,8.94427
Snitz 1,24.0,18.0,0.22115384615400002,train,70.0,3.845999962948099e-09,4,40,12.64911
Snitz 1,24.0,19.0,0.322115384615,train,71.0,4.615000048779905e-09,4,4,4.0
Snitz 1,25.0,26.0,0.28846153846199996,train,72.0,1.5380000606413091e-09,10,10,10.0
Snitz 1,25.0,27.0,0.278846153846,train,73.0,3.845999962948099e-09,10,1,3.16228
Snitz 1,25.0,28.0,0.37019230769199996,train,74.0,2.3080000133290923e-09,10,20,14.14214
Snitz 1,25.0,29.0,0.32692307692300004,train,75.0,3.0769999881385957e-09,10,30,17.32051
Snitz 1,25.0,30.0,0.33653846153800004,train,76.0,1.5380000606413091e-09,10,40,20.0
Snitz 1,25.0,31.0,0.38942307692299993,train,77.0,3.077000099160898e-09,10,4,6.32456
Snitz 1,32.0,26.0,0.1875,train,78.0,0.0,1,10,3.16228
Snitz 1,32.0,27.0,0.278846153846,train,79.0,3.845999962948099e-09,1,1,1.0
Snitz 1,32.0,28.0,0.20673076923099998,train,80.0,7.68999974809503e-10,1,20,4.47214
Snitz 1,32.0,29.0,0.38942307692299993,train,81.0,3.077000099160898e-09,1,30,5.47723
Snitz 1,32.0,30.0,0.259615384615,train,82.0,4.615000048779905e-09,1,40,6.32456
Snitz 1,32.0,31.0,0.24519230769199996,train,83.0,2.3080000133290923e-09,1,4,2.0
Snitz 1,33.0,26.0,0.31730769230800004,train,84.0,2.3080000133290923e-09,20,10,14.14214
Snitz 1,33.0,27.0,0.384615384615,train,85.0,4.615000048779905e-09,20,1,4.47214
Snitz 1,33.0,28.0,0.26442307692300004,train,86.0,3.0769999881385957e-09,20,20,20.0
Snitz 1,33.0,29.0,0.4663461538460001,train,87.0,3.8460000739704014e-09,20,30,24.4949
Snitz 1,33.0,30.0,0.480769230769,train,88.0,7.68999974809503e-10,20,40,28.28427
Snitz 1,33.0,31.0,0.27403846153800004,train,89.0,1.5380000606413091e-09,20,4,8.94427
Snitz 1,34.0,26.0,0.3413461538460001,train,90.0,3.8460000739704014e-09,30,10,17.32051
Snitz 1,34.0,27.0,0.365384615385,train,91.0,4.615000048779905e-09,30,1,5.47723
Snitz 1,34.0,28.0,0.30769230769199996,train,92.0,2.3080000133290923e-09,30,20,24.4949
Snitz 1,34.0,29.0,0.47596153846199996,train,93.0,1.5380000606413091e-09,30,30,30.0
Snitz 1,34.0,30.0,0.543269230769,train,94.0,7.690000303206546e-10,30,40,34.64102
Snitz 1,34.0,31.0,0.30769230769199996,train,95.0,2.3080000133290923e-09,30,4,10.95445
Snitz 1,35.0,26.0,0.26442307692300004,train,96.0,3.0769999881385957e-09,40,10,20.0
Snitz 1,35.0,27.0,0.3461538461539999,train,97.0,3.8460000739704014e-09,40,1,6.32456
Snitz 1,35.0,28.0,0.32692307692300004,train,98.0,3.0769999881385957e-09,40,20,28.28427
Snitz 1,35.0,29.0,0.37019230769199996,train,99.0,2.3080000133290923e-09,40,30,34.64102
Snitz 1,35.0,30.0,0.48557692307700007,train,100.0,3.077000099160898e-09,40,40,40.0
Snitz 1,35.0,31.0,0.3461538461539999,train,101.0,3.8460000739704014e-09,40,4,12.64911
Snitz 1,36.0,26.0,0.23076923076900002,train,102.0,7.68999974809503e-10,4,10,6.32456
Snitz 1,36.0,27.0,0.3461538461539999,train,103.0,3.8460000739704014e-09,4,1,2.0
Snitz 1,36.0,28.0,0.283653846154,train,104.0,3.845999962948099e-09,4,20,8.94427
Snitz 1,36.0,29.0,0.19230769230800004,train,105.0,2.3080000133290923e-09,4,30,10.95445
Snitz 1,36.0,30.0,0.23557692307699996,train,106.0,3.0769999881385957e-09,4,40,12.64911
Snitz 1,36.0,31.0,0.17307692307699996,train,107.0,3.0769999881385957e-09,4,4,4.0
Snitz 1,37.0,38.0,0.47727272727299996,train,108.0,2.7270000702017683e-09,10,15,12.24745
Snitz 1,37.0,39.0,0.375,train,109.0,0.0,10,20,14.14214
Snitz 1,37.0,40.0,0.35795454545500005,train,110.0,4.544999931965776e-09,10,30,17.32051
Snitz 1,37.0,41.0,0.375,train,111.0,0.0,10,43,20.73644
Snitz 1,42.0,39.0,0.471590909091,train,112.0,9.089999863931552e-10,15,20,17.32051
Snitz 1,42.0,40.0,0.46022727272700004,train,113.0,2.7270000702017683e-09,15,30,21.2132
Snitz 1,42.0,41.0,0.528409090909,train,114.0,9.089999863931552e-10,15,43,25.39685
Snitz 1,43.0,38.0,0.3352272727269999,train,115.0,2.7269999591794662e-09,20,15,17.32051
Snitz 1,43.0,39.0,0.35795454545500005,train,116.0,4.544999931965776e-09,20,20,20.0
Snitz 1,43.0,40.0,0.346590909091,train,117.0,9.089999863931552e-10,20,30,24.4949
Snitz 1,43.0,41.0,0.3522727272730001,train,118.0,2.7269999591794662e-09,20,43,29.32576
Snitz 1,43.0,44.0,0.340909090909,train,119.0,9.089999863931552e-10,20,10,14.14214
Snitz 1,43.0,45.0,0.159090909091,train,120.0,9.089999863931552e-10,20,1,4.47214
Snitz 1,43.0,46.0,0.3125,train,121.0,0.0,20,4,8.94427
Snitz 1,47.0,38.0,0.6079545454549999,train,122.0,4.5449999874769276e-09,30,15,21.2132
Snitz 1,47.0,40.0,0.511363636364,train,123.0,3.6360000010837715e-09,30,30,30.0
Snitz 1,47.0,44.0,0.3352272727269999,train,124.0,2.7269999591794662e-09,30,10,17.32051
Snitz 1,47.0,45.0,0.21022727272699993,train,125.0,2.7269999591794662e-09,30,1,5.47723
Snitz 1,47.0,46.0,0.380681818182,train,126.0,1.8179999727863103e-09,30,4,10.95445
Snitz 1,48.0,38.0,0.585227272727,train,127.0,2.727000014690617e-09,43,15,25.39685
Snitz 1,48.0,39.0,0.556818181818,train,128.0,1.8179999727863103e-09,43,20,29.32576
Snitz 1,48.0,40.0,0.653409090909,train,129.0,9.089999863931552e-10,43,30,35.91657
Snitz 1,48.0,41.0,0.47727272727299996,train,130.0,2.7270000702017683e-09,43,43,43.0
Snitz 1,48.0,44.0,0.32386363636400006,train,131.0,3.635999945572621e-09,43,10,20.73644
Snitz 1,48.0,45.0,0.24431818181800002,train,132.0,1.8179999727863103e-09,43,1,6.55744
Snitz 1,48.0,46.0,0.471590909091,train,133.0,9.089999863931552e-10,43,4,13.11488
Snitz 1,49.0,38.0,0.5454545454549999,train,134.0,4.5449999874769276e-09,4,15,7.74597
Snitz 1,49.0,39.0,0.380681818182,train,135.0,1.8179999727863103e-09,4,20,8.94427
Snitz 1,49.0,40.0,0.3522727272730001,train,136.0,2.7269999591794662e-09,4,30,10.95445
Snitz 1,49.0,41.0,0.409090909091,train,137.0,9.089999863931552e-10,4,43,13.11488
Snitz 1,49.0,44.0,0.647727272727,train,138.0,2.7269999591794662e-09,4,10,6.32456
Snitz 1,49.0,46.0,0.39772727272700004,train,139.0,2.7270000702017683e-09,4,4,4.0
Snitz 1,24.0,17.0,0.25480769230800004,leaderboard,2.0,,4,30,10.95445
Snitz 1,49.0,45.0,0.32386363636400006,leaderboard,4.0,,4,1,2.0
Snitz 1,20.0,16.0,0.24519230769199996,leaderboard,5.0,,1,20,4.47214
Snitz 1,47.0,39.0,0.4375,leaderboard,6.0,,30,20,24.4949
Snitz 1,10.0,3.0,0.3489583333330001,leaderboard,8.0,,30,1,5.47723
Snitz 1,47.0,41.0,0.465909090909,leaderboard,37.0,,30,43,35.91657
Snitz 1,1.0,4.0,0.47395833333299997,leaderboard,39.0,,10,20,14.14214
